Ticker,FirstTradingDate,LastTradingDate,TradingDays
AAPL,2020-01-02,2025-12-31,1508
AMZN,2020-01-02,2025-12-31,1508
GOOGL,2020-01-02,2025-12-31,1508
META,2020-01-02,2025-12-31,1508
MSFT,2020-01-02,2025-12-31,1508
NVDA,2020-01-02,2025-12-31,1508
SPY,2020-01-02,2025-12-31,1508
