Ticker,DaysAboveMA50,DaysWithMA50,PctAboveMA50
SPY,1067,1459,0.7313228238519534
NVDA,1011,1459,0.6929403701165182
GOOGL,997,1459,0.6833447566826594
MSFT,937,1459,0.6422206991089787
AAPL,914,1459,0.6264564770390678
META,901,1459,0.6175462645647704
AMZN,893,1459,0.6120630568882797
