Ticker,Year,YearlyReturn
AAPL,2020,0.7823987622636952
AAPL,2021,0.3806097369608763
AAPL,2022,-0.2819948323828757
AAPL,2023,0.5479821710337227
AAPL,2024,0.35556372926671886
AAPL,2025,0.11990785724478337
AMZN,2020,0.7159709483183183
AMZN,2021,0.04635303236972321
AMZN,2022,-0.5070552576558551
AMZN,2023,0.7704498133500892
AMZN,2024,0.4632829327489678
AMZN,2025,0.048133711946047875
GOOGL,2020,0.28053339299788593
GOOGL,2021,0.678343841047121
GOOGL,2022,-0.3914816380093228
GOOGL,2023,0.5674371253034518
GOOGL,2024,0.3750176286826945
GOOGL,2025,0.6587964426643687
META,2020,0.30212585234299705
META,2021,0.25065104837389574
META,2022,-0.6445324101481261
META,2023,1.8375820101625195
META,2024,0.6972671170457159
META,2025,0.10501881386034051
MSFT,2020,0.39942869254264535
MSFT,2021,0.5578993348970074
MSFT,2022,-0.27687173988258384
MSFT,2023,0.5834973934248167
MSFT,2024,0.14501563538983597
MSFT,2025,0.16390556694526737
NVDA,2020,1.180241927092088
NVDA,2021,1.2447622531346658
NVDA,2022,-0.5143699227345624
NVDA,2023,2.460983054803679
NVDA,2024,1.7887409029329273
NVDA,2025,0.34878908043116374
SPY,2020,0.17235274821864555
SPY,2021,0.3050546507865226
SPY,2022,-0.1864639496082905
SPY,2023,0.2670920402485999
SPY,2024,0.2558932730975785
SPY,2025,0.18009005771798003
