Ticker,AverageVolume
NVDA,409302338.92572945
AAPL,84537338.32891247
SPY,80128415.98143236
AMZN,64501594.827586204
GOOGL,33614014.72148541
MSFT,27569409.549071617
META,21876570.888594165
