Ticker,TotalReturnDays,LargeMoveDays,LargeMovePct
NVDA,1507,468,0.3105507631055076
META,1507,249,0.16522893165228933
AMZN,1507,205,0.1360318513603185
GOOGL,1507,172,0.11413404114134042
AAPL,1507,158,0.10484406104844061
MSFT,1507,117,0.0776376907763769
SPY,1507,44,0.029197080291970802
