Ticker,MaximumDrawdown
META,-0.7673609046952303
NVDA,-0.6633509261332002
AMZN,-0.5614526325328263
GOOGL,-0.443200574057121
MSFT,-0.3714847417400641
SPY,-0.33717264353564524
AAPL,-0.33360517686285607
