Ticker,TotalReturn,ReturnRank
NVDA,30.233901810771133,1
GOOGL,3.6083083264802003,2
AAPL,2.751434663773886,3
MSFT,2.171160351222184,4
META,2.1685618547007097,5
AMZN,1.4322317960304525,6
SPY,1.2906365799890782,7
