Ticker,Month,MonthCumulativeRange
AMZN,2025-02,0.3511045038274605
AMZN,2022-03,0.350899178521914
NVDA,2021-02,0.349582246726571
GOOGL,2025-08,0.34957245343424237
META,2024-09,0.34734305695367107
META,2025-06,0.34391435042968466
AAPL,2022-09,0.3424098339906043
AMZN,2022-01,0.33226377661250006
NVDA,2020-11,0.33077958732155954
AMZN,2025-10,0.32855473655895295
NVDA,2020-05,0.32644308581912074
GOOGL,2025-07,0.32590486392531615
AAPL,2024-06,0.3227773650746779
AAPL,2022-07,0.31957365828415685
MSFT,2024-07,0.3190986753903329
AAPL,2024-05,0.3190682098818547
GOOGL,2025-05,0.3159670243801185
GOOGL,2024-04,0.31300255446369407
AAPL,2024-08,0.3128541925984316
NVDA,2020-02,0.30999165934257666
AAPL,2022-01,0.30801970742053886
MSFT,2021-10,0.30721258044394717
AAPL,2025-01,0.30715976951637236
AMZN,2020-09,0.30376021863205827
AAPL,2022-12,0.3027398407035251
AMZN,2025-04,0.3023165100036209
AMZN,2020-04,0.29894994677138365
GOOGL,2022-02,0.29827294304447416
GOOGL,2023-05,0.29751280523826584
AAPL,2022-04,0.29596305286190194
META,2024-08,0.2942444793664558
MSFT,2022-01,0.2934995904488751
AAPL,2023-08,0.29141929552442836
NVDA,2023-04,0.288486530878842
MSFT,2025-11,0.2881477867877358
AAPL,2022-06,0.2866407601487939
NVDA,2020-10,0.2862023754064267
GOOGL,2024-03,0.2853841391405574
MSFT,2022-04,0.28450628070689454
AAPL,2023-01,0.28425180915797
GOOGL,2025-03,0.2838120922236018
META,2025-11,0.2820212374645621
META,2022-04,0.2809609564923067
AMZN,2025-05,0.2777646200219681
MSFT,2025-07,0.27711291377375513
SPY,2020-03,0.2727215249946129
AAPL,2020-08,0.2721972659126255
GOOGL,2023-02,0.2719409320928188
AAPL,2025-02,0.271191647391257
MSFT,2024-01,0.27115999881187314
AMZN,2022-07,0.27112603645464883
MSFT,2023-03,0.26983463397910024
META,2024-01,0.26956788891014427
GOOGL,2023-10,0.26858007405772644
AAPL,2024-12,0.2669101151647508
AAPL,2023-03,0.2667143964225074
MSFT,2022-11,0.26571586364943167
MSFT,2025-04,0.26545195867133353
GOOGL,2022-01,0.2638530163143775
AAPL,2023-09,0.26307512569967706
AAPL,2020-03,0.2615481711434777
META,2020-08,0.2611784615770685
GOOGL,2024-01,0.2598127161803663
META,2020-09,0.25908079289645514
GOOGL,2022-11,0.2565977181684973
MSFT,2024-06,0.25503289750246827
GOOGL,2025-04,0.25341986044031906
GOOGL,2024-09,0.25181314925858445
MSFT,2022-03,0.2515100026632153
AAPL,2021-12,0.24990433111641996
MSFT,2024-04,0.24984803563975877
AAPL,2024-07,0.2476688726019849
AMZN,2022-09,0.24710088547141074
GOOGL,2024-11,0.2469783846925302
META,2025-08,0.2458830463860835
AAPL,2025-05,0.24470479987019633
AMZN,2022-06,0.24447715928822156
AMZN,2024-08,0.24288600876065436
GOOGL,2020-03,0.2427084338043659
AAPL,2023-11,0.24208107084121222
GOOGL,2022-03,0.2419049093940282
MSFT,2023-11,0.24118860949463938
META,2020-04,0.24087132936414013
GOOGL,2022-05,0.24046521694258827
META,2020-03,0.24039467986962282
MSFT,2024-09,0.24029147353323133
AMZN,2024-09,0.23782812455029934
AMZN,2022-02,0.2378069006346124
GOOGL,2023-07,0.2377473360006055
AAPL,2022-10,0.23614532464978533
MSFT,2025-05,0.23568355769284155
AAPL,2021-11,0.23557695911135856
MSFT,2024-05,0.23532691845879983
AAPL,2022-08,0.2351946002740286
MSFT,2022-05,0.23416446787805167
AMZN,2024-12,0.23413982605071793
MSFT,2020-03,0.23329673300539022
MSFT,2025-06,0.23183141093509185
NVDA,2020-04,0.23101659966925503
AMZN,2022-05,0.23001458822629184
AAPL,2024-09,0.22888156239717228
SPY,2025-04,0.22657965002276015
GOOGL,2020-09,0.22503432943949342
META,2022-10,0.224616231485532
META,2024-12,0.22451746759704339
AAPL,2022-11,0.2232143752565916
GOOGL,2023-03,0.22269651740061747
AAPL,2021-01,0.2224473351373104
GOOGL,2022-09,0.22225803696043545
AAPL,2023-06,0.22018316276209138
AAPL,2022-02,0.21936692904308908
GOOGL,2022-12,0.2187509812631767
AAPL,2021-02,0.21786979678715168
META,2025-09,0.21748160449201048
MSFT,2022-09,0.21552790309320624
AMZN,2025-01,0.21485661235112907
AMZN,2020-10,0.2146881073235527
MSFT,2024-12,0.2145405500923565
MSFT,2025-08,0.2141545097695694
GOOGL,2025-01,0.21397125184477428
AAPL,2024-11,0.21380319625385535
AMZN,2021-07,0.21275962516635527
AMZN,2024-07,0.21232758985233224
AMZN,2025-09,0.21169553521168316
AMZN,2023-01,0.2108523669248431
GOOGL,2021-10,0.21022458504455388
AMZN,2025-08,0.21022031228419502
AAPL,2025-12,0.21002288980306494
MSFT,2025-01,0.20965896247383986
GOOGL,2022-07,0.2094501538564395
META,2022-01,0.20931443259595794
NVDA,2021-01,0.20925636875631337
AAPL,2020-10,0.20838619973847217
MSFT,2022-02,0.20689868354611374
AMZN,2023-05,0.2066374902140864
META,2022-03,0.20607312798222444
MSFT,2022-06,0.2059590569701475
META,2024-06,0.20560396282398097
AMZN,2024-06,0.20558385143001878
META,2022-06,0.2050241468902254
AAPL,2021-09,0.20500324244938795
AMZN,2023-02,0.2045300518587092
GOOGL,2024-05,0.20443092588138567
MSFT,2023-04,0.20441529843363715
META,2021-09,0.20397575280499347
AAPL,2020-07,0.20389490853632597
MSFT,2025-10,0.20361140017147417
AAPL,2024-10,0.20294724556484356
GOOGL,2022-08,0.20253091900480746
META,2024-05,0.20209248834589877
AMZN,2021-11,0.20195359712409533
META,2022-05,0.20082946991161132
MSFT,2022-08,0.200382717597005
AAPL,2020-12,0.20028329601763084
GOOGL,2021-07,0.1994548031446799
AMZN,2023-09,0.19883987182684448
GOOGL,2023-01,0.19858572050631063
MSFT,2024-08,0.19722814187636306
GOOGL,2025-06,0.1971302715708796
AMZN,2022-10,0.1965215610061366
MSFT,2020-09,0.19616909854952969
AMZN,2020-08,0.19509393110170348
META,2023-12,0.19482314329943162
AMZN,2024-11,0.19304437615274495
GOOGL,2021-04,0.1921414311006664
AAPL,2024-01,0.1913808379527988
AMZN,2025-03,0.19072614572565616
AMZN,2022-08,0.18977774219020338
AAPL,2023-10,0.18867202299811314
META,2023-10,0.18814961012111242
META,2023-07,0.1881017690696305
META,2023-08,0.18810162231793925
META,2021-12,0.18772065492638434
MSFT,2023-05,0.18757934895719397
MSFT,2020-02,0.18732309631726207
META,2021-03,0.18695776625728144
GOOGL,2020-04,0.1855804874403375
AMZN,2025-06,0.18535199301411653
MSFT,2023-07,0.18510885199320803
GOOGL,2024-10,0.1845748298496681
GOOGL,2024-02,0.18441118750880037
AMZN,2024-02,0.18419287780057236
MSFT,2022-07,0.18378237958517296
META,2023-03,0.18362092629227544
META,2023-02,0.18352561106854137
GOOGL,2024-08,0.1824285716375864
GOOGL,2024-06,0.18196848230507356
AAPL,2021-10,0.18125054564252996
NVDA,2020-07,0.18105053862076526
AAPL,2021-06,0.18084432896499036
META,2024-11,0.17987061343601285
AAPL,2020-02,0.1796830010882764
GOOGL,2022-10,0.17915066023607062
GOOGL,2023-12,0.17900446257390468
MSFT,2024-03,0.1765762935598021
AAPL,2020-04,0.1765121780022897
GOOGL,2023-11,0.17593611240945806
MSFT,2023-10,0.17589322168974642
AMZN,2024-01,0.17586827923405446
GOOGL,2022-06,0.17449664505064666
AAPL,2025-11,0.17386918323950917
META,2021-01,0.17356278547331438
META,2021-07,0.1731812310749936
MSFT,2023-09,0.17125167583688716
AMZN,2021-02,0.17009392708202187
MSFT,2024-10,0.1700681813261804
AMZN,2020-07,0.16928259466871287
MSFT,2020-04,0.1691825238720226
GOOGL,2021-09,0.16862274036544522
MSFT,2021-01,0.167865918952677
AMZN,2021-06,0.16777055146325326
SPY,2022-09,0.16748890160604035
AMZN,2020-11,0.1672910839134134
MSFT,2025-03,0.16716311210524326
META,2022-09,0.1656497875072196
MSFT,2023-01,0.16554373638500586
GOOGL,2021-02,0.16479391475584615
AMZN,2021-04,0.16349232457991625
MSFT,2020-08,0.16328871315361404
MSFT,2021-06,0.16238372347671937
META,2025-12,0.16221022135805052
AMZN,2024-04,0.1620645338882427
SPY,2022-06,0.16172434265776703
MSFT,2022-10,0.16124694850429555
AAPL,2021-07,0.16009180834722492
AMZN,2020-06,0.16006771715402102
AAPL,2023-05,0.1600455705861119
AAPL,2021-04,0.15928148630544192
MSFT,2023-06,0.15905042538441672
META,2020-11,0.158833024677838
AAPL,2024-04,0.1580902833456337
AMZN,2020-03,0.15764931627637968
AAPL,2020-11,0.15739692806027206
META,2021-04,0.15725984654322334
META,2023-04,0.15621137908214622
META,2020-05,0.15559164668825842
AMZN,2025-07,0.15542595032092388
AMZN,2022-11,0.15437223114323462
META,2024-10,0.15419523096625154
MSFT,2025-02,0.1539231574352784
AAPL,2021-03,0.15376663041893646
GOOGL,2020-02,0.15337406534506526
SPY,2024-08,0.15273680000404033
META,2023-05,0.1522548067232532
AMZN,2020-02,0.1509317861741949
MSFT,2025-09,0.1502051279727703
AAPL,2020-06,0.14951666232615857
AMZN,2021-08,0.14912469838323683
SPY,2022-03,0.1484936616749266
SPY,2022-01,0.14765529841970304
AMZN,2023-08,0.14762825154006087
MSFT,2021-09,0.14755762034434516
META,2021-10,0.14677267715368902
META,2023-11,0.14596216756064107
AAPL,2024-03,0.14590863904006168
SPY,2020-04,0.14570969794086208
MSFT,2022-12,0.1453072287913184
AMZN,2022-12,0.14415098629304868
META,2021-05,0.14396032773468326
GOOGL,2021-08,0.14383171354802138
MSFT,2021-12,0.14357759898828037
MSFT,2023-02,0.14297517873495802
SPY,2022-04,0.1427912456944349
AMZN,2023-10,0.14246497129385083
META,2021-06,0.1411005775192702
GOOGL,2023-09,0.14086555543688184
META,2021-08,0.1402422268747403
META,2022-11,0.1391456982346433
AMZN,2025-12,0.13856612190341844
AAPL,2023-02,0.13780541862222773
AMZN,2024-05,0.13761779876158453
META,2024-03,0.13647819273530715
AMZN,2021-10,0.13538398163552512
GOOGL,2021-01,0.1352179813895662
MSFT,2020-11,0.13423087204938144
META,2020-02,0.133711629844099
GOOGL,2020-10,0.13294544621293447
MSFT,2024-11,0.13243378084408297
AMZN,2023-03,0.1323491224795197
GOOGL,2021-05,0.13155741251971986
AAPL,2025-06,0.13122931110908675
GOOGL,2023-06,0.13122101158653088
AAPL,2023-04,0.1304301790277549
SPY,2020-02,0.12952882336155125
MSFT,2020-06,0.12946205573016645
MSFT,2021-08,0.12902969862373737
META,2023-01,0.12870625983282225
AAPL,2021-05,0.1286293343546463
MSFT,2020-10,0.12795514924324913
GOOGL,2023-08,0.12727626327329045
META,2020-10,0.12713333851366815
NVDA,2020-06,0.12705622819782691
AMZN,2021-09,0.1266905371403244
AMZN,2023-04,0.12634283473371033
SPY,2022-05,0.1262175203801621
AMZN,2024-10,0.1257105389122004
GOOGL,2020-08,0.12481363737194906
META,2020-06,0.12470195648621551
MSFT,2021-04,0.1237300516885238
AMZN,2021-05,0.12357673144945358
MSFT,2023-08,0.12346967081353011
SPY,2025-05,0.1211486947245779
META,2023-06,0.11979237864167125
META,2022-07,0.11974461096603506
GOOGL,2020-11,0.1188736680003033
AAPL,2023-12,0.11865622931902653
NVDA,2020-12,0.11803038816875366
SPY,2022-11,0.11786542306530556
AMZN,2021-01,0.1169014883914028
AMZN,2020-12,0.11617971447080322
GOOGL,2021-11,0.11603930162310938
SPY,2024-09,0.11598763365246789
AAPL,2024-02,0.11522935671345458
SPY,2025-10,0.1151122731743035
MSFT,2021-07,0.11421839672439615
AAPL,2023-07,0.11411331650686973
MSFT,2024-02,0.11387988144917127
META,2022-08,0.11311840520827643
SPY,2022-02,0.11308494902473121
AMZN,2023-11,0.1130657479926922
MSFT,2025-12,0.11278277780882373
META,2020-07,0.11226042144297543
AMZN,2020-05,0.11164326327994134
SPY,2022-08,0.11050132679873781
SPY,2023-11,0.11015516058186026
META,2021-11,0.1101154253418013
SPY,2022-07,0.10909264980603317
SPY,2024-11,0.10833590716520813
SPY,2025-03,0.10740592683144756
AAPL,2021-08,0.10550633673736853
SPY,2020-09,0.10501584439565748
SPY,2020-11,0.104504684992349
SPY,2022-10,0.10433381759503457
GOOGL,2021-12,0.1042615549331245
AAPL,2020-05,0.10353838161713302
SPY,2025-11,0.10335622523620769
AMZN,2021-03,0.10231245816516976
SPY,2024-05,0.10196867479142124
META,2020-01,0.10163016915407119
AMZN,2023-12,0.10063174914489359
AMZN,2021-12,0.099551741253455
META,2020-12,0.09738750437228294
MSFT,2021-02,0.09735113307466414
SPY,2025-01,0.09714666904932878
SPY,2021-10,0.09692087262742488
AMZN,2023-06,0.09620599996880763
AMZN,2020-01,0.09503635319103998
SPY,2025-09,0.09491714837772403
MSFT,2020-01,0.09463334476149665
AAPL,2025-07,0.09405013967920928
SPY,2022-12,0.09318178281475853
SPY,2025-02,0.09256499067185642
META,2021-02,0.09190588843364078
MSFT,2021-11,0.09099032835075516
MSFT,2020-12,0.09085409659365307
SPY,2025-08,0.0908464232908952
SPY,2021-12,0.09073872942467442
GOOGL,2020-01,0.08999203284641655
SPY,2025-06,0.0898012259787293
GOOGL,2020-07,0.08975838669810665
AAPL,2020-01,0.0895951630656987
SPY,2024-04,0.08878251414370886
AMZN,2024-03,0.08872448929550858
SPY,2023-01,0.08750564619875156
SPY,2024-07,0.08725449791934459
AMZN,2023-07,0.08672244697598552
GOOGL,2020-05,0.08489942467449652
MSFT,2021-05,0.08488285629563408
SPY,2023-10,0.08370997846019645
SPY,2023-03,0.08263778038922576
MSFT,2020-07,0.08150847723001475
SPY,2020-10,0.08083707711220867
SPY,2024-01,0.07864063752295514
SPY,2023-12,0.07790739172566918
SPY,2023-09,0.07745507748754021
GOOGL,2020-12,0.07653329440731471
META,2023-09,0.07622253514574617
MSFT,2020-05,0.07597613880133136
GOOGL,2023-04,0.07540130357893937
GOOGL,2021-06,0.07535752306270971
SPY,2023-06,0.07489557044307293
GOOGL,2020-06,0.0746412783190441
SPY,2024-12,0.07183788909304378
SPY,2021-09,0.07156788150500604
SPY,2025-12,0.07040025327124022
SPY,2020-05,0.07034687009162022
NVDA,2020-01,0.06998427922151718
SPY,2020-06,0.06994474428684039
MSFT,2021-03,0.06924369223302818
SPY,2024-06,0.06803387379165193
GOOGL,2021-03,0.06797797378593762
SPY,2020-08,0.06776438148527042
SPY,2023-02,0.06625872848480086
SPY,2023-08,0.06568532305738084
SPY,2021-03,0.06562297397693628
MSFT,2023-12,0.06531854619671273
SPY,2025-07,0.0649617645552385
SPY,2023-07,0.0625946636813306
SPY,2024-02,0.06188965531882551
SPY,2021-04,0.06118784170258973
SPY,2024-03,0.057744729673453454
SPY,2024-10,0.055557462097685306
SPY,2021-05,0.05256810709531501
SPY,2021-02,0.051455923167794904
SPY,2020-07,0.05081522195602706
SPY,2021-07,0.05065703048746362
SPY,2021-01,0.04891589376994654
SPY,2023-05,0.048781817482908885
SPY,2021-08,0.04620705810140757
META,2022-12,0.045571499882268496
SPY,2021-11,0.04486660440003143
SPY,2021-06,0.04147234107193665
SPY,2023-04,0.03750209590813802
SPY,2020-12,0.03376393360245489
SPY,2020-01,0.03145887263999714
