Ticker,Year,YearlyReturn,AverageVolume,AnnualizedVolatility
AAPL,2020,0.7823987622636952,157564646.64031622,0.46699322820787603
AAPL,2021,0.3806097369608763,90524627.38095239,0.2510193559517983
AAPL,2022,-0.2819948323828757,87910376.4940239,0.3569641323685675
AAPL,2023,0.5479821710337227,59223547.6,0.2030018435440405
AAPL,2024,0.35556372926671886,57106779.76190476,0.22680455805615687
AAPL,2025,0.11990785724478337,54175778.4,0.3251118893453144
AMZN,2020,0.7159709483183183,98619818.18181819,0.3851099644853523
AMZN,2021,0.04635303236972321,67763341.26984127,0.24092903862014217
AMZN,2022,-0.5070552576558551,76080702.39043824,0.500773238731888
AMZN,2023,0.7704498133500892,58837791.6,0.330163555498315
AMZN,2024,0.4632829327489678,40974933.73015873,0.2809144674749791
AMZN,2025,0.048133711946047875,44439366.0,0.34421493048327234
GOOGL,2020,0.28053339299788593,39953114.62450593,0.38483379915805965
GOOGL,2021,0.678343841047121,30513936.507936507,0.243196050643593
GOOGL,2022,-0.3914816380093228,34767530.27888446,0.3865059733261949
GOOGL,2023,0.5674371253034518,32728912.4,0.3034796374251095
GOOGL,2024,0.3750176286826945,27455569.84126984,0.2804873156589066
GOOGL,2025,0.6587964426643687,36258409.6,0.3234683130124657
META,2020,0.30212585234299705,22446295.652173914,0.4594304665415123
META,2021,0.25065104837389574,18868038.095238097,0.29565776676580646
META,2022,-0.6445324101481261,35558661.75298805,0.6425738156782352
META,2023,1.8375820101625195,24230552.0,0.3987906497106024
META,2024,0.6972671170457159,14680944.047619049,0.3648456205740942
META,2025,0.10501881386034051,15495002.0,0.38018912659345944
MSFT,2020,0.39942869254264535,37659592.49011858,0.43939306850921217
MSFT,2021,0.5578993348970074,26013012.698412698,0.21048690570915107
MSFT,2022,-0.27687173988258384,31219321.513944224,0.35313287085515166
MSFT,2023,0.5834973934248167,27677097.6,0.25071635548784266
MSFT,2024,0.14501563538983597,20586623.015873015,0.19961535742753475
MSFT,2025,0.16390556694526737,22193441.6,0.24262074541829476
NVDA,2020,1.180241927092088,480855256.91699606,0.5791219194266629
NVDA,2021,1.2447622531346658,359558817.46031743,0.4498753552074655
NVDA,2022,-0.5143699227345624,543163223.1075697,0.6321761492621302
NVDA,2023,2.460983054803679,473557460.0,0.48429090151687076
NVDA,2024,1.7887409029329273,377189096.4285714,0.5250330095195995
NVDA,2025,0.34878908043116374,220750955.2,0.49617947602140167
SPY,2020,0.17235274821864555,100359315.41501977,0.3345367664004896
SPY,2021,0.3050546507865226,73795232.53968254,0.12988736055387468
SPY,2022,-0.1864639496082905,94759609.96015936,0.24242952296181944
SPY,2023,0.2670920402485999,81930562.4,0.13075541735750668
SPY,2024,0.2558932730975785,57411873.809523806,0.12568965152632
SPY,2025,0.18009005771798003,72445004.0,0.19486751412484776
