Model,Accuracy,Precision,Recall,F1,ROC_AUC
Gradient Boosting,0.7970191625266146,0.6560283687943262,0.4946524064171123,0.5640243902439024,0.8445271125578031
Logistic Regression,0.7423704755145494,0.5094664371772806,0.7914438502673797,0.6198952879581152,0.8422769898473224
Random Forest,0.7700496806245565,0.5484496124031008,0.7566844919786097,0.6359550561797753,0.8420612777390271
Decision Tree,0.7409510290986515,0.5076923076923077,0.7941176470588235,0.6193952033368092,0.8339197602624713
