Threshold,Precision,Recall,F1,PredictedHighRiskCount
0.1,0.22201392608462775,1.0,0.3633574402805172,7468
0.15,0.23805361305361306,0.985524728588661,0.3834780567941798,6864
0.2,0.2618929222608984,0.9529553679131484,0.4108698478741386,6033
0.25,0.28751914241960186,0.9059107358262968,0.43650101714617845,5224
0.3,0.31810988017182906,0.8486127864897467,0.4627528367044894,4423
0.35,0.3531833150384193,0.7762364294330518,0.4854771784232365,3644
0.4,0.3995148995148995,0.695416164053076,0.5074823943661971,2886
0.45,0.45335029686174727,0.6447527141133896,0.5323705179282868,2358
0.5,0.49447236180904525,0.5934861278648975,0.5394736842105263,1990
0.55,0.523342939481268,0.5476477683956574,0.5352195697023283,1735
0.6,0.5545335085413929,0.5090470446320868,0.5308176100628931,1522
0.65,0.5840118430792006,0.4758745476477684,0.5244267198404786,1351
0.7,0.6266432953549518,0.4312424607961399,0.510896748838871,1141
0.75,0.6723549488054608,0.35645355850422195,0.4659046117461569,879
0.8,0.7126600284495022,0.30217129071170085,0.4243964421855146,703
