RiskBand,Clients,AvgPredictedProbability,ActualDefaultRate,TotalCreditLimit
Low,5406,0.15339865515553508,0.020532741398446172,1468560000
Medium,16446,0.3300890464494545,0.1272649884470388,2609176000
High,8113,0.7230543250626137,0.5455441883397018,939663680
