Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Random Forest,0.7757608115323011,0.49447236180904525,0.5934861278648975,0.5394736842105263,0.7791641320605923,0.5601755432965978
Gradient Boosting,0.74679658302189,0.44947145877378436,0.6411338962605548,0.5284613472532935,0.7807358118231258,0.5587232434700959
Decision Tree,0.75854244527496,0.46506247107820453,0.606151990349819,0.5263157894736842,0.7666154024926878,0.5335259213550752
Logistic Regression,0.7419914575547251,0.4409110442629996,0.6188178528347407,0.514930991217064,0.7575082406573834,0.5299809624399929
