RiskBand,Clients,AvgPredictedProbability,ActualDefaultRate,TotalCreditLimit,AvgCreditLimit
Low,5406,0.15339865515553508,0.020532741398446172,1468560000,271653.71809101
Medium,16446,0.3300890464494545,0.1272649884470388,2609176000,158651.10057156754
High,8113,0.7230543250626137,0.5455441883397018,939663680,115821.97460865277
